Scheme	Traffic	Time (s)	Throughput (Mbit/s)
pcc	egress	3.30	0.00
pcc	egress	3.45	0.01
pcc	egress	3.60	0.25
pcc	egress	3.75	2.11
pcc	egress	3.90	4.09
pcc	egress	4.05	8.33
pcc	egress	4.20	18.18
pcc	egress	4.35	36.40
pcc	egress	4.50	50.06
pcc	egress	4.65	49.94
pcc	egress	4.80	46.09
pcc	egress	4.95	32.27
pcc	egress	5.10	32.14
pcc	egress	5.25	32.69
pcc	egress	5.40	32.61
pcc	egress	5.55	32.18
pcc	egress	5.70	32.62
pcc	egress	5.85	32.45
pcc	egress	6.00	33.09
pcc	egress	6.15	32.10
pcc	egress	6.30	32.94
pcc	egress	6.45	33.49
pcc	egress	6.60	31.58
pcc	egress	6.75	32.25
pcc	egress	6.90	33.16
pcc	egress	7.05	33.58
pcc	egress	7.20	33.82
pcc	egress	7.35	33.41
pcc	egress	7.50	32.86
pcc	egress	7.65	32.94
pcc	egress	7.80	33.41
pcc	egress	7.95	33.50
pcc	egress	8.10	33.41
pcc	egress	8.25	34.06
pcc	egress	8.40	34.22
pcc	egress	8.55	35.18
pcc	egress	8.70	35.74
pcc	egress	8.85	36.50
pcc	egress	9.00	37.75
pcc	egress	9.15	38.25
pcc	egress	9.30	40.27
pcc	egress	9.45	41.13
pcc	egress	9.60	43.48
pcc	egress	9.75	44.44
pcc	egress	9.90	47.00
pcc	egress	10.05	49.04
pcc	egress	10.20	50.00
pcc	egress	10.35	49.13
pcc	egress	10.50	46.45
pcc	egress	10.65	46.21
pcc	egress	10.80	47.00
pcc	egress	10.95	47.04
pcc	egress	11.10	47.16
pcc	egress	11.25	47.68
pcc	egress	11.40	48.05
pcc	egress	11.55	49.36
pcc	egress	11.70	49.53
pcc	egress	11.85	37.26
pcc	egress	12.00	50.07
pcc	egress	12.15	49.93
pcc	egress	12.30	50.01
pcc	egress	12.45	50.01
pcc	egress	12.60	49.97
pcc	egress	12.75	50.01
pcc	egress	12.90	50.01
pcc	egress	13.05	50.01
pcc	egress	13.20	50.01
pcc	egress	13.35	50.01
pcc	egress	13.50	49.93
pcc	egress	13.65	49.26
pcc	egress	13.80	46.56
pcc	egress	13.95	47.33
pcc	egress	14.10	47.89
pcc	egress	14.25	48.32
pcc	egress	14.40	47.81
pcc	egress	14.55	47.44
pcc	egress	14.70	47.41
pcc	egress	14.85	46.96
pcc	egress	15.00	46.53
pcc	egress	15.15	45.48
