Scheme	Traffic	Time (s)	Throughput (Mbit/s)
pcc	egress	3.30	0.00
pcc	egress	3.45	0.01
pcc	egress	3.60	0.49
pcc	egress	3.75	2.27
pcc	egress	3.90	4.65
pcc	egress	4.05	10.29
pcc	egress	4.20	21.38
pcc	egress	4.35	40.08
pcc	egress	4.50	49.98
pcc	egress	4.65	49.99
pcc	egress	4.80	44.29
pcc	egress	4.95	32.77
pcc	egress	5.10	32.78
pcc	egress	5.25	32.33
pcc	egress	5.40	32.14
pcc	egress	5.55	32.13
pcc	egress	5.70	32.61
pcc	egress	5.85	32.66
pcc	egress	6.00	33.18
pcc	egress	6.15	31.89
pcc	egress	6.30	33.25
pcc	egress	6.45	31.86
pcc	egress	6.60	33.41
pcc	egress	6.75	32.86
pcc	egress	6.90	27.76
pcc	egress	7.05	35.38
pcc	egress	7.20	32.75
pcc	egress	7.35	33.82
pcc	egress	7.50	31.66
pcc	egress	7.65	31.53
pcc	egress	7.80	30.85
pcc	egress	7.95	30.81
pcc	egress	8.10	29.94
pcc	egress	8.25	30.52
pcc	egress	8.40	31.06
pcc	egress	8.55	30.85
pcc	egress	8.70	30.90
pcc	egress	8.85	30.61
pcc	egress	9.00	31.29
pcc	egress	9.15	30.29
pcc	egress	9.30	30.49
pcc	egress	9.45	31.41
pcc	egress	9.60	30.81
pcc	egress	9.75	30.93
pcc	egress	9.90	30.74
pcc	egress	10.05	31.37
pcc	egress	10.20	31.65
pcc	egress	10.35	31.25
pcc	egress	10.50	32.17
pcc	egress	10.65	32.13
pcc	egress	10.80	33.18
pcc	egress	10.95	33.58
pcc	egress	11.10	34.46
pcc	egress	11.25	35.50
pcc	egress	11.40	36.10
pcc	egress	11.55	37.74
pcc	egress	11.70	38.17
pcc	egress	11.85	36.31
pcc	egress	12.00	35.69
pcc	egress	12.15	36.23
pcc	egress	12.30	35.62
pcc	egress	12.45	35.42
pcc	egress	12.60	36.07
pcc	egress	12.75	36.58
pcc	egress	12.90	35.59
pcc	egress	13.05	35.18
pcc	egress	13.20	35.34
pcc	egress	13.35	37.06
pcc	egress	13.50	35.98
pcc	egress	13.65	34.78
pcc	egress	13.80	36.90
pcc	egress	13.95	37.05
pcc	egress	14.10	37.59
pcc	egress	14.25	36.82
pcc	egress	14.40	36.71
pcc	egress	14.55	36.58
pcc	egress	14.70	36.95
pcc	egress	14.85	37.06
pcc	egress	15.00	37.27
pcc	egress	15.15	36.34
