Scheme	Traffic	Time (s)	Throughput (Mbit/s)
bbr	egress	3.15	0.00
bbr	egress	3.30	0.01
bbr	egress	3.45	2.40
bbr	egress	3.60	5.04
bbr	egress	3.75	17.28
bbr	egress	3.90	45.28
bbr	egress	4.05	50.00
bbr	egress	4.20	50.32
bbr	egress	4.35	50.00
bbr	egress	4.50	50.00
bbr	egress	4.65	50.00
bbr	egress	4.80	49.92
bbr	egress	4.95	50.00
bbr	egress	5.10	50.00
bbr	egress	5.25	50.00
bbr	egress	5.40	50.00
bbr	egress	5.55	50.00
bbr	egress	5.70	50.00
bbr	egress	5.85	50.00
bbr	egress	6.00	49.84
bbr	egress	6.15	50.16
bbr	egress	6.30	39.68
bbr	egress	6.45	50.88
bbr	egress	6.60	50.00
bbr	egress	6.75	50.00
bbr	egress	6.90	50.00
bbr	egress	7.05	50.00
bbr	egress	7.20	50.00
bbr	egress	7.35	50.00
bbr	egress	7.50	50.00
bbr	egress	7.65	50.00
bbr	egress	7.80	50.00
bbr	egress	7.95	50.00
bbr	egress	8.10	50.00
bbr	egress	8.25	50.00
bbr	egress	8.40	50.00
bbr	egress	8.55	50.00
bbr	egress	8.70	50.00
bbr	egress	8.85	50.00
bbr	egress	9.00	50.00
bbr	egress	9.15	50.00
bbr	egress	9.30	50.00
bbr	egress	9.45	50.00
bbr	egress	9.60	50.00
bbr	egress	9.75	50.00
bbr	egress	9.90	50.00
bbr	egress	10.05	50.00
bbr	egress	10.20	50.00
bbr	egress	10.35	50.00
bbr	egress	10.50	50.00
bbr	egress	10.65	50.00
bbr	egress	10.80	50.00
bbr	egress	10.95	50.00
bbr	egress	11.10	50.00
bbr	egress	11.25	50.00
bbr	egress	11.40	50.00
bbr	egress	11.55	50.00
bbr	egress	11.70	50.00
bbr	egress	11.85	50.00
bbr	egress	12.00	50.00
bbr	egress	12.15	50.00
bbr	egress	12.30	50.00
bbr	egress	12.45	50.00
bbr	egress	12.60	50.00
bbr	egress	12.75	50.00
bbr	egress	12.90	50.00
bbr	egress	13.05	50.00
bbr	egress	13.20	50.00
bbr	egress	13.35	50.00
bbr	egress	13.50	34.32
bbr	egress	13.65	0.48
bbr	egress	13.80	19.68
bbr	egress	13.95	49.84
bbr	egress	14.10	50.16
bbr	egress	14.25	50.00
bbr	egress	14.40	50.00
bbr	egress	14.55	50.00
bbr	egress	14.70	50.00
bbr	egress	14.85	50.00
bbr	egress	15.00	49.52
bbr	egress	15.15	50.48
bbr	egress	15.30	50.00
bbr	egress	15.45	49.76
bbr	egress	15.60	50.24
bbr	egress	15.75	50.00
bbr	egress	15.90	50.00
bbr	egress	16.05	50.00
bbr	egress	16.20	50.00
bbr	egress	16.35	50.00
bbr	egress	16.50	50.00
bbr	egress	16.65	50.00
bbr	egress	16.80	50.00
bbr	egress	16.95	50.00
bbr	egress	17.10	50.00
