Scheme	Time (s)	Delay (ms)
bbr	3.181880	23.60
bbr	3.229108	24.49
bbr	3.231321	26.57
bbr	3.233413	28.63
bbr	3.235497	30.70
bbr	3.245595	40.78
bbr	3.246690	41.86
bbr	3.246743	41.90
bbr	3.246796	41.94
bbr	3.246844	41.98
bbr	3.248766	43.88
bbr	3.249852	44.93
bbr	3.285949	32.58
bbr	3.286014	32.62
bbr	3.286062	29.38
bbr	3.286108	29.40
bbr	3.286151	26.16
bbr	3.286193	26.17
bbr	3.300497	33.84
bbr	3.304725	38.05
bbr	3.310992	42.16
bbr	3.314369	45.50
bbr	3.316488	44.84
bbr	3.319324	47.65
bbr	3.321177	46.23
bbr	3.323306	48.32
bbr	3.326360	48.13
bbr	3.329611	51.35
bbr	3.332431	50.89
bbr	3.334310	52.73
bbr	3.338403	53.63
bbr	3.341401	56.59
bbr	3.346591	32.39
bbr	3.346629	32.38
bbr	3.347677	31.75
bbr	3.350802	31.87
bbr	3.351672	32.70
bbr	3.353717	31.75
bbr	3.354822	32.83
bbr	3.359828	34.77
bbr	3.359906	34.81
bbr	3.360934	32.86
bbr	3.361967	33.86
bbr	3.363843	32.69
bbr	3.364949	33.76
bbr	3.367040	32.88
bbr	3.369987	35.80
bbr	3.372013	35.35
bbr	3.374148	37.44
bbr	3.377113	38.88
bbr	3.379213	40.95
bbr	3.381132	39.88
bbr	3.382278	41.00
bbr	3.386483	42.14
bbr	3.388526	44.16
bbr	3.391735	44.36
bbr	3.395848	48.44
bbr	3.397278	46.87
bbr	3.401475	47.95
bbr	3.402643	49.08
bbr	3.404751	48.25
bbr	3.408955	52.41
bbr	3.417299	57.67
bbr	3.417358	57.69
bbr	3.417386	54.75
bbr	3.417411	54.74
bbr	3.419455	53.74
bbr	3.421486	55.74
bbr	3.425623	56.89
bbr	3.427547	58.78
bbr	3.429721	58.96
bbr	3.434971	64.17
bbr	3.436127	63.25
bbr	3.440263	67.35
bbr	3.443123	68.28
bbr	3.447161	72.28
bbr	3.449270	72.35
bbr	3.451389	74.43
bbr	3.461728	82.86
bbr	3.479832	100.93
bbr	3.479899	98.97
bbr	3.486962	105.59
bbr	3.489043	107.62
bbr	3.490151	107.18
bbr	3.492923	109.92
bbr	3.511860	127.06
bbr	3.512949	128.12
bbr	3.513015	126.43
bbr	3.513060	126.43
bbr	3.513083	124.68
bbr	3.513119	124.66
bbr	3.515737	125.58
