Scheme	Time (s)	Delay (ms)
aurora	3.319747	23.49
aurora	3.364703	21.34
aurora	3.512130	37.87
aurora	3.512173	37.86
aurora	3.512252	37.23
aurora	3.512264	37.20
aurora	3.512277	36.96
aurora	3.512286	36.94
aurora	3.512295	35.86
aurora	3.512304	35.83
aurora	3.512313	34.79
aurora	3.512321	34.76
aurora	3.514239	35.66
aurora	3.514260	35.66
aurora	3.519370	39.73
aurora	3.519401	39.73
aurora	3.520456	39.78
aurora	3.520488	39.78
aurora	3.522585	40.80
aurora	3.522616	40.79
aurora	3.526685	43.70
aurora	3.526715	43.70
aurora	3.528769	44.83
aurora	3.528790	44.83
aurora	3.530913	45.95
aurora	3.530939	45.95
aurora	3.534028	47.95
aurora	3.534057	47.95
aurora	3.535141	47.63
aurora	3.535164	47.62
aurora	3.565525	77.29
aurora	3.565559	77.28
aurora	3.565581	76.29
aurora	3.565595	76.26
aurora	3.566852	76.35
aurora	3.566875	76.33
aurora	3.566890	75.43
aurora	3.566899	75.40
aurora	3.566909	74.30
aurora	3.566917	74.28
aurora	3.566926	73.38
aurora	3.566934	73.36
aurora	3.566943	72.18
aurora	3.566955	72.16
aurora	3.566964	71.28
aurora	3.566973	71.26
aurora	3.579655	82.52
aurora	3.579680	82.51
aurora	3.579697	81.84
aurora	3.579706	81.82
aurora	3.579716	80.78
aurora	3.579724	80.75
aurora	3.579733	79.64
aurora	3.579741	79.62
aurora	3.581782	80.65
aurora	3.581808	80.64
aurora	3.581828	79.67
aurora	3.581842	79.65
aurora	3.583064	79.85
aurora	3.583087	79.84
aurora	3.599306	94.97
aurora	3.599340	94.97
aurora	3.599365	94.03
aurora	3.599379	94.02
aurora	3.599393	92.98
aurora	3.601549	95.10
aurora	3.605087	97.20
aurora	3.605118	97.20
aurora	3.605141	96.55
aurora	3.605155	96.53
aurora	3.605169	95.42
aurora	3.605181	95.40
aurora	3.606204	95.38
aurora	3.606229	95.37
aurora	3.609342	97.47
aurora	3.609370	97.46
aurora	3.611835	98.87
aurora	3.611864	98.87
aurora	3.612919	98.85
aurora	3.612946	98.86
aurora	3.615103	100.07
aurora	3.615125	100.06
aurora	3.616201	100.11
aurora	3.616225	100.09
aurora	3.617349	100.12
aurora	3.617375	100.11
aurora	3.620428	101.83
aurora	3.620462	101.83
aurora	3.623151	103.82
aurora	3.623176	103.80
aurora	3.625392	104.96
aurora	3.625417	104.94
aurora	3.626435	104.97
aurora	3.626462	104.96
aurora	3.630026	107.46
aurora	3.630055	107.44
aurora	3.630078	106.39
aurora	3.632771	109.05
aurora	3.642633	117.95
aurora	3.642661	117.94
aurora	3.642678	116.92
aurora	3.642688	116.89
aurora	3.642698	115.76
aurora	3.642706	115.73
aurora	3.642715	114.51
aurora	3.642723	114.49
aurora	3.642731	113.75
aurora	3.642740	113.73
aurora	3.643780	113.70
aurora	3.643806	113.70
aurora	3.645848	114.70
aurora	3.645879	114.70
aurora	3.646930	114.76
aurora	3.646958	114.75
aurora	3.648907	115.67
aurora	3.648932	115.66
aurora	3.651048	116.59
aurora	3.651073	116.58
aurora	3.651090	115.73
aurora	3.651100	115.72
aurora	3.652168	115.69
aurora	3.652188	115.68
aurora	3.653591	116.04
aurora	3.653625	116.04
aurora	3.656739	118.15
aurora	3.656767	118.14
aurora	3.667534	127.42
aurora	3.667561	127.41
aurora	3.667577	126.80
aurora	3.667587	126.78
aurora	3.672112	130.27
aurora	3.672142	130.27
aurora	3.672167	129.26
aurora	3.672182	129.25
aurora	3.672193	128.22
aurora	3.672201	128.20
aurora	3.672210	127.14
aurora	3.672218	127.12
aurora	3.681726	135.59
aurora	3.690894	143.71
aurora	3.690920	143.70
aurora	3.690936	142.55
aurora	3.690945	142.53
aurora	3.690954	141.30
aurora	3.690962	141.28
aurora	3.690970	140.52
aurora	3.690978	140.50
aurora	3.690986	139.34
aurora	3.690994	139.31
aurora	3.691002	138.46
aurora	3.691010	138.44
aurora	3.691018	136.27
aurora	3.691026	136.24
aurora	3.692978	138.18
aurora	3.693007	138.20
aurora	3.693029	137.25
aurora	3.693043	137.23
aurora	3.694323	137.43
aurora	3.694362	137.44
aurora	3.694386	136.47
aurora	3.694400	136.46
aurora	3.697631	138.56
aurora	3.697656	138.55
aurora	3.699761	139.65
aurora	3.699792	139.65
aurora	3.700889	139.66
aurora	3.700914	139.66
aurora	3.701964	139.74
aurora	3.705089	142.84
aurora	3.705119	141.84
aurora	3.705130	141.81
aurora	3.708705	144.39
aurora	3.708738	144.40
aurora	3.709833	144.41
aurora	3.709858	144.41
aurora	3.712024	145.43
aurora	3.712050	145.43
aurora	3.714122	146.50
aurora	3.714147	146.49
aurora	3.715172	146.54
aurora	3.715194	146.52
aurora	3.716340	146.48
aurora	3.716365	146.47
aurora	3.726453	155.65
aurora	3.726483	155.64
aurora	3.726552	154.69
aurora	3.726567	154.67
aurora	3.726664	153.75
aurora	3.726680	153.73
aurora	3.726762	152.80
aurora	3.726778	152.79
aurora	3.728562	153.49
aurora	3.728583	153.47
aurora	3.730623	154.48
aurora	3.730646	154.47
aurora	3.732760	155.55
aurora	3.732788	155.54
aurora	3.742867	164.59
aurora	3.742898	164.60
aurora	3.742973	163.49
aurora	3.742989	163.48
aurora	3.743070	162.58
aurora	3.743087	162.57
aurora	3.744291	162.73
aurora	3.744316	162.73
aurora	3.747930	165.30
aurora	3.747952	165.29
aurora	3.748003	164.08
aurora	3.748014	164.06
aurora	3.764327	179.64
aurora	3.764353	179.63
aurora	3.764424	178.60
aurora	3.764441	178.59
aurora	3.764547	177.68
aurora	3.764564	177.67
aurora	3.764645	175.56
aurora	3.764661	175.55
aurora	3.764736	173.37
aurora	3.764749	173.35
aurora	3.764807	171.07
aurora	3.764819	171.05
aurora	3.764893	168.94
aurora	3.764904	168.92
aurora	3.764958	166.77
aurora	3.764969	166.75
aurora	3.765022	164.61
aurora	3.765034	164.59
aurora	3.765094	162.38
aurora	3.765106	162.35
aurora	3.765481	160.53
aurora	3.765507	160.53
aurora	3.766580	159.39
aurora	3.769761	162.53
aurora	3.770874	161.37
aurora	3.770907	161.37
aurora	3.771389	159.60
aurora	3.771415	159.58
aurora	3.773533	159.59
aurora	3.773559	159.59
aurora	3.783707	167.52
aurora	3.783739	167.51
aurora	3.783839	165.40
aurora	3.783859	165.39
aurora	3.783946	163.22
aurora	3.783965	163.21
aurora	3.791749	168.76
aurora	3.791780	168.75
aurora	3.797826	172.50
aurora	3.797854	172.49
aurora	3.798948	171.33
aurora	3.798978	171.32
aurora	3.799064	169.34
aurora	3.799081	169.32
aurora	3.799158	162.76
aurora	3.799174	162.75
aurora	3.801447	165.01
aurora	3.801474	165.02
aurora	3.803041	166.31
aurora	3.803068	166.32
aurora	3.805021	166.24
aurora	3.805045	166.24
aurora	3.805117	164.01
aurora	3.808041	166.91
aurora	3.810116	166.81
aurora	3.810143	166.80
aurora	3.812169	166.63
aurora	3.812196	166.62
aurora	3.812271	164.42
aurora	3.812284	164.39
aurora	3.813296	163.01
aurora	3.813330	163.01
aurora	3.814163	161.85
aurora	3.814188	161.84
aurora	3.817145	162.57
aurora	3.817171	162.56
aurora	3.817286	160.46
aurora	3.820304	161.09
aurora	3.820332	161.08
aurora	3.820416	159.09
aurora	3.820431	159.07
aurora	3.821242	157.64
aurora	3.821278	157.64
aurora	3.823473	157.61
aurora	3.823502	157.62
aurora	3.826400	158.04
aurora	3.826425	158.03
aurora	3.826509	156.09
aurora	3.826524	156.07
aurora	3.828531	155.77
aurora	3.828558	155.76
aurora	3.831430	156.53
aurora	3.831461	156.54
aurora	3.832793	155.62
aurora	3.832814	155.61
aurora	3.832886	153.50
aurora	3.832900	153.49
aurora	3.834579	152.63
aurora	3.834603	152.63
aurora	3.834687	150.58
aurora	3.834702	150.57
aurora	3.836701	150.48
aurora	3.836726	150.48
aurora	3.837784	149.24
aurora	3.840907	152.32
aurora	3.841065	150.38
aurora	3.841081	150.37
aurora	3.842002	149.07
aurora	3.842029	149.06
aurora	3.843099	147.91
aurora	3.843121	147.90
aurora	3.845943	148.46
aurora	3.845973	148.44
aurora	3.848042	148.28
aurora	3.848070	148.27
aurora	3.849184	147.01
aurora	3.849211	147.01
aurora	3.851089	146.87
aurora	3.851117	146.85
aurora	3.852175	145.69
aurora	3.852201	145.69
aurora	3.854978	146.24
aurora	3.855009	146.24
aurora	3.864351	153.58
aurora	3.864381	153.58
aurora	3.869358	156.50
aurora	3.869386	156.50
aurora	3.869508	154.52
aurora	3.869525	154.51
aurora	3.869583	152.68
aurora	3.869595	152.66
aurora	3.869652	150.71
aurora	3.869664	150.69
aurora	3.871338	150.29
aurora	3.871369	150.29
aurora	3.873570	150.51
aurora	3.876408	153.29
aurora	3.879499	154.27
aurora	3.879532	154.28
aurora	3.880594	153.47
aurora	3.880620	153.45
aurora	3.881736	152.56
aurora	3.881763	152.56
aurora	3.885725	154.50
aurora	3.885752	154.50
aurora	3.887918	154.65
aurora	3.887947	154.63
aurora	3.888690	153.26
aurora	3.888717	153.25
aurora	3.890932	153.60
aurora	3.890960	153.61
aurora	3.892720	153.32
aurora	3.892745	153.31
aurora	3.894822	153.39
aurora	3.894853	153.39
aurora	3.896806	153.35
aurora	3.896832	153.34
aurora	3.905466	159.85
aurora	3.905492	159.85
aurora	3.905573	157.80
aurora	3.905586	157.78
aurora	3.905640	155.97
aurora	3.905651	155.93
aurora	3.906088	154.47
aurora	3.906115	154.46
aurora	3.908193	154.51
aurora	3.908220	154.49
aurora	3.909069	153.22
aurora	3.911184	155.28
aurora	3.912289	154.50
aurora	3.912315	154.47
aurora	3.914547	154.76
aurora	3.914580	154.76
aurora	3.916715	154.82
aurora	3.916802	154.87
aurora	3.918798	154.89
aurora	3.918832	154.87
aurora	3.921086	155.06
aurora	3.921108	155.05
aurora	3.922425	154.45
aurora	3.922452	154.45
aurora	3.924562	154.54
aurora	3.924589	154.53
aurora	3.926502	154.42
aurora	3.926533	154.42
aurora	3.926648	152.56
aurora	3.926668	152.55
aurora	3.929458	153.19
aurora	3.929483	153.18
aurora	3.929554	151.34
aurora	3.929567	151.32
aurora	3.932706	152.41
aurora	3.932734	152.40
aurora	3.932848	150.59
aurora	3.932864	150.58
aurora	3.941713	157.41
aurora	3.941738	157.41
aurora	3.941815	155.40
aurora	3.941828	155.38
aurora	3.941882	153.46
aurora	3.941894	153.44
aurora	3.941945	151.52
aurora	3.941957	151.49
aurora	3.942836	150.37
aurora	3.942869	150.37
aurora	3.943831	149.32
aurora	3.943862	149.31
aurora	3.945860	149.31
aurora	3.945884	149.30
aurora	3.946995	148.40
aurora	3.947085	148.46
aurora	3.949018	148.38
aurora	3.949045	148.37
aurora	3.949943	147.25
aurora	3.952036	147.28
aurora	3.952065	147.27
aurora	3.952207	145.44
aurora	3.952226	145.42
aurora	3.953941	145.10
aurora	3.953966	145.09
aurora	3.955097	144.22
aurora	3.955125	144.21
aurora	3.957221	144.30
aurora	3.957246	144.29
aurora	3.957339	142.08
aurora	3.957353	142.06
aurora	3.957408	140.39
aurora	3.957420	140.37
aurora	3.963279	144.23
aurora	3.963307	144.22
aurora	3.963417	142.32
aurora	3.963433	142.30
aurora	3.963498	140.39
aurora	3.963512	140.38
aurora	3.964353	139.18
aurora	3.964383	139.18
aurora	3.967338	140.10
aurora	3.967370	140.10
aurora	3.967495	138.23
aurora	3.967518	138.21
aurora	3.969495	138.22
aurora	3.972410	141.11
aurora	3.972529	139.19
aurora	3.972545	139.17
aurora	3.975579	140.22
aurora	3.975611	140.22
aurora	3.975737	138.11
aurora	3.975758	138.10
aurora	3.978630	139.19
aurora	3.978653	139.19
aurora	3.978721	137.24
aurora	3.978733	137.22
aurora	3.980578	137.03
aurora	3.980603	137.02
aurora	3.981716	136.11
aurora	3.981743	136.10
aurora	3.983640	136.02
aurora	3.983671	136.02
aurora	3.985698	135.99
aurora	3.985725	135.99
aurora	3.986650	134.95
aurora	3.986676	134.95
aurora	3.988857	135.12
aurora	3.988882	135.11
aurora	3.990857	135.07
aurora	3.990889	135.08
aurora	3.991952	134.08
aurora	3.991977	134.07
aurora	3.993056	133.15
aurora	3.993077	133.13
aurora	3.994203	132.26
aurora	3.996344	134.37
aurora	3.997467	133.52
aurora	3.997494	133.52
aurora	3.999527	133.53
aurora	3.999556	133.53
aurora	4.000629	132.56
aurora	4.000652	132.54
aurora	4.001741	131.62
aurora	4.001762	131.61
aurora	4.003114	131.00
aurora	4.003139	130.99
aurora	4.004327	130.12
aurora	4.004354	130.12
aurora	4.005466	129.23
aurora	4.005487	129.21
aurora	4.006535	128.29
aurora	4.006561	128.28
aurora	4.007155	126.87
