Scheme	Traffic	Time (s)	Throughput (Mbit/s)
aurora	egress	3.15	0.00
aurora	egress	3.30	0.01
aurora	egress	3.45	1.11
aurora	egress	3.60	3.23
aurora	egress	3.75	6.26
aurora	egress	3.90	6.26
aurora	egress	4.05	7.50
aurora	egress	4.20	9.31
aurora	egress	4.35	6.34
aurora	egress	4.50	5.41
aurora	egress	4.65	5.49
aurora	egress	4.80	4.99
aurora	egress	4.95	5.41
aurora	egress	5.10	5.07
aurora	egress	5.25	4.72
aurora	egress	5.40	5.33
aurora	egress	5.55	5.74
aurora	egress	5.70	5.50
aurora	egress	5.85	5.09
aurora	egress	6.00	6.74
aurora	egress	6.15	5.66
aurora	egress	6.30	5.52
aurora	egress	6.45	5.49
aurora	egress	6.60	4.98
aurora	egress	6.75	4.90
aurora	egress	6.90	4.48
aurora	egress	7.05	4.30
aurora	egress	7.20	4.42
aurora	egress	7.35	4.64
aurora	egress	7.50	4.38
aurora	egress	7.65	4.39
aurora	egress	7.80	4.33
aurora	egress	7.95	4.39
aurora	egress	8.10	4.56
aurora	egress	8.25	4.39
aurora	egress	8.40	4.33
aurora	egress	8.55	4.13
aurora	egress	8.70	4.81
aurora	egress	8.85	4.39
aurora	egress	9.00	4.41
aurora	egress	9.15	4.47
aurora	egress	9.30	4.14
aurora	egress	9.45	4.73
aurora	egress	9.60	4.47
aurora	egress	9.75	4.50
aurora	egress	9.90	4.22
aurora	egress	10.05	3.96
aurora	egress	10.20	5.92
aurora	egress	10.35	5.41
aurora	egress	10.50	4.84
aurora	egress	10.65	4.30
aurora	egress	10.80	4.64
aurora	egress	10.95	4.98
aurora	egress	11.10	2.72
aurora	egress	11.25	2.01
aurora	egress	11.40	3.57
aurora	egress	11.55	3.62
aurora	egress	11.70	4.72
aurora	egress	11.85	5.84
aurora	egress	12.00	5.92
aurora	egress	12.15	5.07
aurora	egress	12.30	3.74
aurora	egress	12.45	5.07
aurora	egress	12.60	1.78
aurora	egress	12.75	1.42
aurora	egress	12.90	5.41
aurora	egress	13.05	7.19
aurora	egress	13.20	3.48
aurora	egress	13.35	3.28
aurora	egress	13.50	3.20
aurora	egress	13.65	3.48
aurora	egress	13.80	0.34
aurora	egress	13.95	2.26
aurora	egress	14.10	3.48
aurora	egress	14.25	2.63
aurora	egress	14.40	2.69
aurora	egress	14.55	3.31
aurora	egress	14.70	2.94
aurora	egress	14.85	3.06
aurora	egress	15.00	2.77
aurora	egress	15.15	2.20
aurora	egress	15.30	3.37
aurora	egress	15.45	3.62
aurora	egress	15.60	3.57
aurora	egress	15.75	3.45
aurora	egress	15.90	1.78
aurora	egress	16.05	3.11
aurora	egress	16.20	2.80
aurora	egress	16.35	3.37
aurora	egress	16.50	3.06
aurora	egress	16.65	1.87
aurora	egress	16.80	2.01
aurora	egress	16.95	1.36
aurora	egress	17.10	1.87
aurora	egress	17.25	2.52
aurora	egress	17.40	2.04
aurora	egress	17.55	2.69
aurora	egress	17.70	2.29
aurora	egress	17.85	1.02
aurora	egress	18.00	1.10
aurora	egress	18.15	0.82
aurora	egress	18.30	1.36
aurora	egress	18.45	9.48
aurora	egress	18.60	10.90
aurora	egress	18.75	12.94
aurora	egress	18.90	8.27
aurora	egress	19.05	3.14
aurora	egress	19.20	3.03
aurora	egress	19.35	3.14
aurora	egress	19.50	3.11
aurora	egress	19.65	3.28
aurora	egress	19.80	3.31
aurora	egress	19.95	2.52
aurora	egress	20.10	2.55
aurora	egress	20.25	2.21
aurora	egress	20.40	2.26
aurora	egress	20.55	2.29
aurora	egress	20.70	2.18
aurora	egress	20.85	2.12
aurora	egress	21.00	2.29
aurora	egress	21.15	2.35
aurora	egress	21.30	2.21
aurora	egress	21.45	2.21
aurora	egress	21.60	2.35
aurora	egress	21.75	2.21
aurora	egress	21.90	2.26
aurora	egress	22.05	2.46
aurora	egress	22.20	2.94
aurora	egress	22.35	3.40
aurora	egress	22.50	3.28
aurora	egress	22.65	3.40
aurora	egress	22.80	3.28
aurora	egress	22.95	3.23
aurora	egress	23.10	3.96
aurora	egress	23.25	3.79
aurora	egress	23.40	3.65
aurora	egress	23.55	3.96
aurora	egress	23.70	3.62
aurora	egress	23.85	4.16
aurora	egress	24.00	4.30
aurora	egress	24.15	4.31
aurora	egress	24.30	4.39
aurora	egress	24.45	4.33
aurora	egress	24.60	4.22
aurora	egress	24.75	4.05
aurora	egress	24.90	4.30
aurora	egress	25.05	4.16
aurora	egress	25.20	4.30
aurora	egress	25.35	4.05
aurora	egress	25.50	4.41
aurora	egress	25.65	4.22
aurora	egress	25.80	4.22
aurora	egress	25.95	4.30
aurora	egress	26.10	4.84
aurora	egress	26.25	4.56
aurora	egress	26.40	4.98
aurora	egress	26.55	5.07
aurora	egress	26.70	5.07
aurora	egress	26.85	4.56
aurora	egress	27.00	5.83
aurora	egress	27.15	5.66
aurora	egress	27.30	6.01
aurora	egress	27.45	5.49
aurora	egress	27.60	5.52
aurora	egress	27.75	5.49
aurora	egress	27.90	5.15
aurora	egress	28.05	4.13
aurora	egress	28.20	3.96
aurora	egress	28.35	4.08
aurora	egress	28.50	3.45
aurora	egress	28.65	3.88
aurora	egress	28.80	3.49
aurora	egress	28.95	3.28
aurora	egress	29.10	2.63
aurora	egress	29.25	2.43
aurora	egress	29.40	2.46
aurora	egress	29.55	2.38
aurora	egress	29.70	2.18
aurora	egress	29.85	2.29
aurora	egress	30.00	2.26
aurora	egress	30.15	2.12
aurora	egress	30.30	2.38
aurora	egress	30.45	2.26
aurora	egress	30.60	2.80
aurora	egress	30.75	2.69
aurora	egress	30.90	2.80
aurora	egress	31.05	2.69
aurora	egress	31.20	2.80
aurora	egress	31.35	2.60
aurora	egress	31.50	2.97
aurora	egress	31.65	2.77
aurora	egress	31.80	2.72
aurora	egress	31.95	2.69
aurora	egress	32.10	3.31
aurora	egress	32.25	3.29
aurora	egress	32.40	3.23
aurora	egress	32.55	2.69
aurora	egress	32.70	2.80
aurora	egress	32.85	2.60
aurora	egress	33.00	2.29
aurora	egress	33.15	2.46
aurora	egress	33.30	0.17
aurora	ingress	3.15	0.01
aurora	ingress	3.30	4.51
aurora	ingress	3.45	7.42
aurora	ingress	3.60	5.58
aurora	ingress	3.75	5.60
aurora	ingress	3.90	5.66
aurora	ingress	4.05	6.09
aurora	ingress	4.20	5.97
aurora	ingress	4.35	5.35
aurora	ingress	4.50	5.49
aurora	ingress	4.65	5.49
aurora	ingress	4.80	4.98
aurora	ingress	4.95	4.98
aurora	ingress	5.10	4.98
aurora	ingress	5.25	5.49
aurora	ingress	5.40	5.49
aurora	ingress	5.55	5.41
aurora	ingress	5.70	5.92
aurora	ingress	5.85	6.00
aurora	ingress	6.00	5.75
aurora	ingress	6.15	5.75
aurora	ingress	6.30	4.98
aurora	ingress	6.45	4.92
aurora	ingress	6.60	4.90
aurora	ingress	6.75	4.47
aurora	ingress	6.90	4.39
aurora	ingress	7.05	4.39
aurora	ingress	7.20	4.58
aurora	ingress	7.35	4.47
aurora	ingress	7.50	4.22
aurora	ingress	7.65	4.39
aurora	ingress	7.80	4.50
aurora	ingress	7.95	4.47
aurora	ingress	8.10	4.39
aurora	ingress	8.25	4.30
aurora	ingress	8.40	4.50
aurora	ingress	8.55	4.56
aurora	ingress	8.70	4.39
aurora	ingress	8.85	4.39
aurora	ingress	9.00	4.42
aurora	ingress	9.15	4.39
aurora	ingress	9.30	4.47
aurora	ingress	9.45	4.39
aurora	ingress	9.60	4.66
aurora	ingress	9.75	4.99
aurora	ingress	9.90	4.81
aurora	ingress	10.05	4.90
aurora	ingress	10.20	4.73
aurora	ingress	10.35	4.90
aurora	ingress	10.50	4.84
aurora	ingress	10.65	5.07
aurora	ingress	10.80	4.73
aurora	ingress	10.95	4.98
aurora	ingress	11.10	4.73
aurora	ingress	11.25	4.90
aurora	ingress	11.40	4.58
