Scheme	Time (s)	Delay (ms)
pybbr	3.513404	30.10
pybbr	3.515499	31.89
pybbr	3.582619	29.16
pybbr	3.584879	29.36
pybbr	3.587165	29.59
pybbr	3.588390	28.73
pybbr	3.590483	28.75
pybbr	3.592669	28.87
pybbr	3.595714	29.84
pybbr	3.598966	31.03
pybbr	3.600025	30.01
pybbr	3.602272	30.18
pybbr	3.604485	30.36
pybbr	3.605576	29.34
pybbr	3.642326	29.00
pybbr	3.644422	29.03
pybbr	3.646615	29.10
pybbr	3.649843	30.21
pybbr	3.651950	30.20
pybbr	3.654190	30.31
pybbr	3.655321	29.33
pybbr	3.658388	30.27
pybbr	3.659525	29.30
pybbr	3.661703	29.19
pybbr	3.665924	31.14
pybbr	3.665946	29.09
pybbr	3.669010	30.01
pybbr	3.671114	30.04
pybbr	3.672277	29.09
pybbr	3.674969	29.68
pybbr	3.677064	29.67
pybbr	3.678140	28.62
pybbr	3.680505	28.89
pybbr	3.701785	29.14
pybbr	3.703153	28.40
pybbr	3.706498	30.05
pybbr	3.707564	29.41
pybbr	3.709345	29.51
pybbr	3.710911	29.39
pybbr	3.712577	29.35
pybbr	3.714639	29.73
pybbr	3.715606	28.99
pybbr	3.718322	29.94
pybbr	3.719349	29.27
pybbr	3.720446	28.67
pybbr	3.722817	29.35
pybbr	3.724524	29.36
pybbr	3.726593	29.73
pybbr	3.727460	28.92
pybbr	3.730253	30.00
pybbr	3.731305	29.37
pybbr	3.732365	28.76
pybbr	3.734708	29.41
pybbr	3.736400	29.36
pybbr	3.737432	28.75
pybbr	3.739630	29.25
pybbr	3.742827	30.72
pybbr	3.743862	30.06
pybbr	3.744960	29.46
pybbr	3.746063	28.89
pybbr	3.748218	29.34
pybbr	3.749312	28.72
pybbr	3.751466	29.20
pybbr	3.754712	30.74
pybbr	3.755851	30.19
pybbr	3.756891	29.54
pybbr	3.759040	29.95
pybbr	3.760153	29.41
pybbr	3.761243	28.79
pybbr	3.763312	29.17
pybbr	3.764460	29.24
pybbr	3.766646	30.35
pybbr	3.767741	30.36
pybbr	3.768835	30.39
pybbr	3.769933	30.40
pybbr	3.770995	30.37
pybbr	3.772132	30.43
pybbr	3.774172	31.43
pybbr	3.774187	30.36
pybbr	3.775325	30.37
pybbr	3.776409	30.40
pybbr	3.778583	31.52
pybbr	3.779688	31.48
pybbr	3.780764	31.49
pybbr	3.781840	31.50
pybbr	3.782913	31.47
pybbr	3.785002	32.53
pybbr	3.785027	31.42
pybbr	3.787166	32.48
pybbr	3.787185	31.43
pybbr	3.788298	31.46
pybbr	3.790449	32.53
pybbr	3.791486	32.49
pybbr	3.792446	32.37
pybbr	3.793523	32.40
pybbr	3.794221	32.01
pybbr	3.796417	33.07
pybbr	3.797627	33.20
pybbr	3.798265	32.76
pybbr	3.800474	33.91
pybbr	3.800489	32.84
pybbr	3.802210	33.48
pybbr	3.803279	33.47
pybbr	3.804344	33.45
pybbr	3.805181	33.21
pybbr	3.806267	33.22
pybbr	3.808055	33.91
pybbr	3.809155	33.94
pybbr	3.810185	33.89
pybbr	3.811425	34.06
pybbr	3.813198	34.73
pybbr	3.814338	34.78
pybbr	3.815490	34.87
pybbr	3.816159	34.47
pybbr	3.817195	34.40
pybbr	3.818350	34.50
pybbr	3.820175	35.24
pybbr	3.821255	35.24
pybbr	3.822295	35.20
pybbr	3.823542	35.35
pybbr	3.824197	34.93
pybbr	3.826389	36.05
pybbr	3.827552	36.13
pybbr	3.828223	35.87
pybbr	3.829284	36.35
pybbr	3.830436	36.91
pybbr	3.832151	38.07
pybbr	3.833299	38.64
pybbr	3.834362	39.13
pybbr	3.835129	39.33
pybbr	3.836191	39.81
pybbr	3.838511	41.51
pybbr	3.839678	42.14
pybbr	3.840334	42.22
pybbr	3.841401	42.69
pybbr	3.842060	42.77
pybbr	3.844361	44.50
pybbr	3.845529	45.09
pybbr	3.846135	45.12
pybbr	3.847228	45.06
pybbr	3.848438	43.95
pybbr	3.850169	45.12
pybbr	3.851261	44.99
pybbr	3.852358	44.96
pybbr	3.853302	45.33
pybbr	3.854129	43.87
pybbr	3.856264	44.83
pybbr	3.857321	45.30
pybbr	3.858348	45.18
pybbr	3.859218	44.91
pybbr	3.860313	44.27
pybbr	3.862202	45.01
pybbr	3.863305	44.95
pybbr	3.864344	44.84
pybbr	3.865178	45.09
pybbr	3.866243	43.85
pybbr	3.868159	44.62
pybbr	3.869203	45.09
pybbr	3.870261	45.00
pybbr	3.871197	44.79
pybbr	3.872220	44.09
pybbr	3.874131	44.83
pybbr	3.875223	44.77
pybbr	3.876288	45.27
pybbr	3.877108	44.94
pybbr	3.878148	43.67
pybbr	3.880121	45.07
pybbr	3.881181	44.97
pybbr	3.882210	44.87
pybbr	3.883076	44.54
pybbr	3.884153	43.90
pybbr	3.886050	44.62
pybbr	3.887109	45.12
pybbr	3.888154	45.02
pybbr	3.889059	44.75
pybbr	3.890118	44.10
pybbr	3.892029	44.87
pybbr	3.893103	44.79
pybbr	3.894194	44.73
pybbr	3.895488	45.45
pybbr	3.896491	44.17
pybbr	3.898133	44.97
pybbr	3.899151	45.13
pybbr	3.900257	44.97
pybbr	3.901261	45.12
pybbr	3.902183	43.95
pybbr	3.904130	45.01
pybbr	3.905647	45.28
pybbr	3.906294	45.04
pybbr	3.907320	45.21
pybbr	3.908268	44.03
pybbr	3.910152	45.07
pybbr	3.911578	45.23
pybbr	3.912676	45.48
pybbr	3.913153	45.10
pybbr	3.914069	43.86
pybbr	3.916200	45.14
pybbr	3.917460	45.13
pybbr	3.918487	44.85
pybbr	3.919387	45.33
pybbr	3.920221	43.59
pybbr	3.922214	45.17
pybbr	3.923274	44.92
pybbr	3.924502	45.31
pybbr	3.925303	45.25
pybbr	3.926060	43.89
pybbr	3.928154	45.15
pybbr	3.929262	44.93
pybbr	3.930350	45.21
pybbr	3.931235	45.24
pybbr	3.932334	44.25
pybbr	3.934318	45.32
pybbr	3.935595	45.34
pybbr	3.936111	44.98
pybbr	3.937200	45.23
pybbr	3.938259	43.74
pybbr	3.940252	44.76
pybbr	3.941343	45.00
pybbr	3.942315	45.12
pybbr	3.943227	45.20
pybbr	3.944122	43.36
pybbr	3.946129	44.95
pybbr	3.947213	45.09
pybbr	3.948193	45.22
pybbr	3.949142	44.93
pybbr	3.950215	43.37
pybbr	3.952937	45.69
pybbr	3.954048	45.88
pybbr	3.954065	45.04
pybbr	3.955100	44.66
pybbr	3.956161	43.50
pybbr	3.958187	45.11
pybbr	3.959247	45.26
pybbr	3.960498	45.23
pybbr	3.961431	45.35
pybbr	3.962204	43.32
pybbr	3.964321	45.04
pybbr	3.965416	45.32
pybbr	3.966300	44.98
pybbr	3.967331	45.23
pybbr	3.968127	43.34
pybbr	3.970153	44.96
pybbr	3.971242	45.23
pybbr	3.972539	45.34
pybbr	3.973430	45.39
pybbr	3.974218	43.51
pybbr	3.977000	45.88
pybbr	3.978145	45.84
pybbr	3.978179	45.02
pybbr	3.979097	44.71
pybbr	3.980236	44.23
pybbr	3.982381	45.09
pybbr	3.983774	45.66
pybbr	3.984865	45.53
pybbr	3.985201	45.05
pybbr	3.986235	44.04
pybbr	3.988104	44.92
pybbr	3.989164	45.16
pybbr	3.990280	45.04
pybbr	3.991179	45.12
pybbr	3.992278	44.19
pybbr	3.994346	45.33
pybbr	3.996088	45.84
pybbr	3.996105	44.34
pybbr	3.997430	44.27
pybbr	3.998237	44.27
pybbr	4.000697	45.53
pybbr	4.002123	46.14
pybbr	4.002143	44.92
pybbr	4.003330	45.30
pybbr	4.004141	43.23
pybbr	4.006442	45.14
pybbr	4.007772	45.66
pybbr	4.008865	45.52
pybbr	4.009242	45.08
pybbr	4.010326	44.15
pybbr	4.012126	44.92
pybbr	4.013186	45.16
pybbr	4.014096	44.88
pybbr	4.015167	45.11
pybbr	4.016143	43.23
pybbr	4.018174	44.86
pybbr	4.019239	45.10
pybbr	4.020230	44.39
pybbr	4.021103	43.94
pybbr	4.022152	43.53
pybbr	4.024227	45.21
pybbr	4.025562	45.34
pybbr	4.026430	45.37
pybbr	4.027314	44.57
pybbr	4.028157	43.08
pybbr	4.030142	44.65
pybbr	4.031205	44.93
pybbr	4.032475	45.36
pybbr	4.033217	45.25
pybbr	4.034277	43.62
pybbr	4.036123	45.06
pybbr	4.037245	44.96
pybbr	4.038135	45.04
pybbr	4.039199	44.46
pybbr	4.040230	43.71
pybbr	4.042200	44.88
pybbr	4.043305	45.19
pybbr	4.044325	44.97
pybbr	4.045170	44.20
pybbr	4.046196	43.80
pybbr	4.048277	45.09
pybbr	4.049508	45.49
pybbr	4.050423	45.18
pybbr	4.051247	44.64
pybbr	4.052070	42.94
pybbr	4.054102	44.57
pybbr	4.055162	44.79
pybbr	4.056474	45.31
pybbr	4.057285	45.30
pybbr	4.058057	44.03
pybbr	4.060687	45.41
pybbr	4.061844	45.77
pybbr	4.062194	44.91
pybbr	4.063259	45.16
pybbr	4.064349	44.20
pybbr	4.066548	45.53
pybbr	4.067606	45.36
pybbr	4.068670	45.62
pybbr	4.069769	45.40
pybbr	4.070078	43.73
pybbr	4.072247	45.03
pybbr	4.073354	45.32
pybbr	4.074412	45.15
pybbr	4.075528	45.46
pybbr	4.076653	43.92
pybbr	4.079041	45.90
pybbr	4.079057	44.67
pybbr	4.080145	44.97
pybbr	4.081292	45.30
pybbr	4.082449	44.42
pybbr	4.084884	45.60
pybbr	4.086083	45.99
pybbr	4.086099	44.77
pybbr	4.087097	44.98
pybbr	4.088211	44.02
pybbr	4.090805	45.76
pybbr	4.091907	45.67
pybbr	4.093029	45.95
pybbr	4.093046	44.72
pybbr	4.094194	43.83
pybbr	4.096567	45.38
pybbr	4.097698	45.69
pybbr	4.098794	45.57
pybbr	4.099910	45.87
pybbr	4.101021	44.27
pybbr	4.102100	44.92
pybbr	4.103234	45.24
pybbr	4.104337	44.83
pybbr	4.105415	44.80
pybbr	4.107551	45.20
pybbr	4.108648	45.49
pybbr	4.110012	43.45
pybbr	4.110028	40.07
