Scheme	Traffic	Time (s)	Throughput (Mbit/s)
eagle-v3	egress	3.45	0.00
eagle-v3	egress	3.60	0.08
eagle-v3	egress	3.75	0.08
eagle-v3	egress	3.90	0.08
eagle-v3	egress	4.05	0.72
eagle-v3	egress	4.20	0.64
eagle-v3	egress	4.35	0.64
eagle-v3	egress	4.50	0.80
eagle-v3	egress	4.65	0.64
eagle-v3	egress	4.80	0.40
eagle-v3	egress	4.95	0.48
eagle-v3	egress	5.10	0.72
eagle-v3	egress	5.25	1.28
eagle-v3	egress	5.40	0.56
eagle-v3	egress	5.55	0.40
eagle-v3	egress	5.70	0.08
eagle-v3	egress	5.85	0.08
eagle-v3	egress	6.00	0.00
eagle-v3	egress	6.15	0.08
eagle-v3	egress	6.30	0.40
eagle-v3	egress	6.45	0.48
eagle-v3	egress	6.60	0.40
eagle-v3	egress	6.75	0.16
eagle-v3	egress	6.90	0.24
eagle-v3	egress	7.05	0.16
eagle-v3	egress	7.20	0.08
eagle-v3	egress	7.35	0.00
eagle-v3	egress	7.50	0.00
eagle-v3	egress	7.65	0.08
eagle-v3	egress	7.80	0.08
eagle-v3	egress	7.95	0.00
eagle-v3	egress	8.10	0.08
eagle-v3	egress	8.25	0.32
eagle-v3	egress	8.40	1.20
eagle-v3	egress	8.55	1.84
eagle-v3	egress	8.70	4.48
eagle-v3	egress	8.85	9.12
eagle-v3	egress	9.00	9.76
eagle-v3	egress	9.15	9.92
eagle-v3	egress	9.30	9.36
eagle-v3	egress	9.45	9.36
eagle-v3	egress	9.60	7.20
eagle-v3	egress	9.75	9.52
eagle-v3	egress	9.90	7.92
eagle-v3	egress	10.05	2.96
eagle-v3	egress	10.20	4.96
eagle-v3	egress	10.35	7.60
eagle-v3	egress	10.50	7.68
eagle-v3	egress	10.65	8.88
eagle-v3	egress	10.80	8.24
eagle-v3	egress	10.95	9.28
eagle-v3	egress	11.10	9.68
eagle-v3	egress	11.25	9.04
eagle-v3	egress	11.40	9.36
eagle-v3	egress	11.55	8.96
eagle-v3	egress	11.70	9.36
eagle-v3	egress	11.85	9.76
eagle-v3	egress	12.00	9.68
eagle-v3	egress	12.15	8.64
eagle-v3	egress	12.30	9.44
eagle-v3	egress	12.45	9.44
eagle-v3	egress	12.60	9.68
eagle-v3	egress	12.75	9.60
eagle-v3	egress	12.90	9.60
eagle-v3	egress	13.05	9.68
eagle-v3	egress	13.20	9.36
eagle-v3	egress	13.35	9.52
eagle-v3	egress	13.50	9.44
eagle-v3	egress	13.65	8.32
eagle-v3	egress	13.80	9.04
eagle-v3	egress	13.95	9.60
eagle-v3	egress	14.10	9.68
eagle-v3	egress	14.25	9.28
eagle-v3	egress	14.40	9.44
eagle-v3	egress	14.55	9.68
eagle-v3	egress	14.70	8.56
eagle-v3	egress	14.85	5.84
eagle-v3	egress	15.00	5.28
eagle-v3	egress	15.15	5.92
eagle-v3	egress	15.30	6.00
eagle-v3	egress	15.45	8.80
eagle-v3	egress	15.60	8.96
eagle-v3	egress	15.75	8.32
eagle-v3	egress	15.90	7.44
eagle-v3	egress	16.05	5.20
eagle-v3	egress	16.20	2.72
eagle-v3	egress	16.35	2.56
eagle-v3	egress	16.50	2.96
eagle-v3	egress	16.65	3.76
eagle-v3	egress	16.80	4.08
eagle-v3	egress	16.95	6.56
eagle-v3	egress	17.10	5.92
eagle-v3	egress	17.25	3.52
eagle-v3	egress	17.40	6.96
eagle-v3	egress	17.55	6.96
eagle-v3	egress	17.70	8.48
eagle-v3	egress	17.85	4.32
eagle-v3	egress	18.00	6.00
eagle-v3	egress	18.15	7.52
eagle-v3	egress	18.30	7.52
eagle-v3	egress	18.45	4.24
eagle-v3	egress	18.60	3.20
eagle-v3	egress	18.75	5.52
